Provider,TotalClaims,AnomalousClaims,AverageRiskScore,MaximumRiskScore,PotentialFraud,AnomalyRate
PRV57543,354,5,3.12,18.52,Yes,1.41
PRV54696,71,1,2.93,18.85,No,1.41
PRV51949,71,1,2.79,18.37,No,1.41
PRV52581,142,2,2.71,26.89,No,1.41
PRV54954,71,1,2.58,23.15,No,1.41
PRV51049,71,1,2.56,28.39,No,1.41
PRV53959,214,3,3.42,31.88,Yes,1.4
PRV57156,215,3,2.88,22.45,No,1.4
PRV55633,358,5,2.83,32.05,No,1.4
PRV56401,143,2,2.71,16.12,No,1.4
PRV53624,143,2,2.69,32.59,No,1.4
PRV51486,214,3,2.48,17.69,No,1.4
PRV56653,72,1,2.91,33.81,No,1.39
PRV53045,216,3,2.89,35.33,No,1.39
PRV52371,72,1,2.77,15.57,No,1.39
PRV53702,1010,14,2.77,36.34,No,1.39
PRV51007,72,1,2.74,16.97,No,1.39
PRV57654,72,1,2.43,15.49,No,1.39
PRV53894,217,3,2.96,18.02,Yes,1.38
PRV53490,145,2,2.93,32.43,No,1.38
PRV54685,145,2,2.79,33.55,No,1.38
PRV56426,436,6,2.76,32.61,No,1.38
PRV57673,217,3,2.51,42.95,No,1.38
PRV56668,73,1,4.48,17.85,Yes,1.37
PRV52876,73,1,3.54,37.96,No,1.37
PRV52955,73,1,3.32,23.03,No,1.37
PRV52320,366,5,3.2,28.24,Yes,1.37
PRV56577,293,4,3.11,53.98,No,1.37
PRV51863,73,1,3.05,22.9,No,1.37
PRV55717,73,1,2.97,16.32,No,1.37
PRV56729,219,3,2.72,37.17,No,1.37
PRV52850,146,2,2.63,29.63,No,1.37
PRV53342,73,1,2.63,16.62,No,1.37
PRV55771,73,1,2.63,18.5,No,1.37
PRV52175,221,3,3.06,31.5,No,1.36
PRV55454,368,5,2.8,39.66,No,1.36
PRV53972,74,1,2.89,29.31,No,1.35
PRV57125,370,5,2.88,32.77,No,1.35
PRV51347,2067,28,2.85,40.33,Yes,1.35
PRV51466,74,1,2.65,22.73,No,1.35
PRV52129,223,3,2.6,33.95,No,1.35
PRV52383,74,1,2.35,15.49,Yes,1.35
PRV54952,149,2,3.17,33.98,Yes,1.34
PRV53192,149,2,2.93,33.11,No,1.34
PRV54510,149,2,2.85,37.63,No,1.34
PRV54905,149,2,2.39,25.61,No,1.34
PRV55018,75,1,3.87,20.53,Yes,1.33
PRV52321,150,2,3.4,36.61,Yes,1.33
PRV54649,75,1,3.38,18.8,Yes,1.33
PRV51984,525,7,2.99,31.82,No,1.33
PRV54585,75,1,2.83,16.44,No,1.33
PRV54806,75,1,2.83,17.73,No,1.33
PRV55742,75,1,2.82,15.49,No,1.33
PRV57318,150,2,2.71,25.32,No,1.33
PRV51460,452,6,2.61,27.87,No,1.33
PRV54393,75,1,2.61,18.21,No,1.33
PRV57343,75,1,2.53,15.87,No,1.33
PRV54829,75,1,2.49,24.99,No,1.33
PRV53932,304,4,3.3,34.93,No,1.32
PRV52455,76,1,3.27,19.87,No,1.32
PRV51064,303,4,3.23,44.76,Yes,1.32
PRV54077,76,1,3.23,17.45,Yes,1.32
PRV51669,76,1,3.2,36.89,No,1.32
PRV52020,606,8,3.2,41.43,Yes,1.32
PRV55058,227,3,3.11,22.27,No,1.32
PRV55175,304,4,2.9,61.35,No,1.32
PRV52633,379,5,2.88,29.78,No,1.32
PRV55246,227,3,2.88,26.76,No,1.32
PRV57346,532,7,2.88,31.14,No,1.32
PRV57182,76,1,2.8,19.74,No,1.32
PRV56758,531,7,2.75,35.7,No,1.32
PRV55503,604,8,2.7,37.31,No,1.32
PRV54475,151,2,2.69,16.69,No,1.32
PRV53534,76,1,2.61,16.99,No,1.32
PRV54787,77,1,3.37,34.61,No,1.3
PRV53698,77,1,3.16,33.06,No,1.3
PRV55195,77,1,3.08,31.58,Yes,1.3
PRV53979,77,1,2.96,25.97,No,1.3
PRV52845,231,3,2.91,35.02,No,1.3
PRV53786,1382,18,2.72,38.54,Yes,1.3
PRV56791,233,3,2.8,21.18,No,1.29
PRV51860,776,10,2.57,32.94,No,1.29
PRV52148,78,1,3.73,34.76,No,1.28
PRV55086,78,1,3.27,15.8,No,1.28
PRV56360,78,1,3.18,21.73,No,1.28
PRV52549,156,2,3.07,33.85,No,1.28
PRV52032,627,8,2.73,30.94,Yes,1.28
PRV52503,78,1,2.64,33.79,No,1.28
PRV55518,235,3,2.64,20.86,No,1.28
PRV53306,78,1,2.52,29.07,No,1.28
PRV57382,79,1,3.29,40.99,No,1.27
PRV54885,316,4,3.1,34.54,No,1.27
PRV55516,158,2,2.92,30.75,No,1.27
PRV52499,157,2,2.75,34.96,No,1.27
PRV57519,157,2,2.67,34.86,No,1.27
PRV57536,79,1,2.65,21.53,No,1.27
PRV57434,316,4,2.63,27.73,No,1.27
PRV54686,157,2,2.5,19.08,No,1.27
PRV56630,159,2,3.26,17.1,Yes,1.26
PRV55262,397,5,2.9,30.44,No,1.26
PRV54391,318,4,2.71,23.93,Yes,1.26
PRV56550,80,1,3.58,15.47,Yes,1.25
PRV55474,80,1,3.24,15.89,No,1.25
PRV53104,80,1,3.19,32.24,No,1.25
PRV57596,160,2,2.99,25.21,No,1.25
PRV55943,721,9,2.86,35.59,No,1.25
PRV52788,401,5,2.82,30.07,No,1.25
PRV52527,160,2,2.64,34.52,No,1.25
PRV55216,80,1,2.63,17.02,No,1.25
PRV52167,80,1,2.44,15.72,No,1.25
PRV55239,161,2,3.22,32.11,No,1.24
PRV57718,161,2,2.96,26.35,No,1.24
PRV57335,807,10,2.84,39.28,Yes,1.24
PRV51357,161,2,2.83,28.16,Yes,1.24
PRV51954,643,8,2.82,34.28,No,1.24
PRV55552,1206,15,2.73,39.05,No,1.24
PRV56008,1370,17,2.64,35.58,Yes,1.24
PRV57313,402,5,2.61,32.78,No,1.24
PRV52065,325,4,3.59,30.53,Yes,1.23
PRV51492,81,1,3.35,29.43,No,1.23
PRV55907,243,3,3.05,28.36,No,1.23
PRV54772,2115,26,2.94,37.29,Yes,1.23
PRV52895,81,1,2.9,29.46,No,1.23
PRV51159,569,7,2.82,38.83,Yes,1.23
PRV57192,407,5,2.82,36.2,No,1.23
PRV53321,81,1,2.79,21.56,No,1.23
PRV54774,488,6,2.77,37.3,No,1.23
PRV53113,81,1,2.63,37.02,No,1.23
PRV55687,81,1,2.56,19.71,No,1.23
PRV51584,82,1,3.83,37.4,Yes,1.22
PRV54359,490,6,3.06,37.54,Yes,1.22
PRV55942,82,1,2.93,16.58,No,1.22
PRV57173,1225,15,2.88,42.29,Yes,1.22
PRV54761,822,10,2.77,34.97,No,1.22
PRV57213,82,1,2.67,17.12,No,1.22
PRV55177,327,4,2.42,22.98,No,1.22
PRV57653,82,1,2.38,18.0,No,1.22
PRV51910,82,1,2.25,16.56,No,1.22
PRV53674,496,6,2.84,18.41,No,1.21
PRV52558,494,6,2.57,30.85,No,1.21
PRV55522,248,3,2.57,27.29,No,1.21
PRV55676,167,2,4.53,63.14,Yes,1.2
PRV55675,83,1,3.14,57.68,No,1.2
PRV54778,1672,20,2.97,31.37,Yes,1.2
PRV57190,83,1,2.87,35.46,No,1.2
PRV57191,1500,18,2.77,37.72,Yes,1.2
PRV56655,251,3,2.72,32.94,No,1.2
PRV54345,167,2,2.56,47.62,No,1.2
PRV53617,83,1,2.53,15.47,No,1.2
PRV52131,84,1,3.45,24.87,No,1.19
PRV51337,168,2,3.23,17.17,Yes,1.19
PRV57321,84,1,3.03,17.01,No,1.19
PRV55677,84,1,2.76,17.79,No,1.19
PRV56751,84,1,2.1,25.22,No,1.19
PRV54658,85,1,3.61,33.16,No,1.18
PRV55868,85,1,3.31,15.58,No,1.18
PRV56447,170,2,3.24,34.1,Yes,1.18
PRV52111,85,1,3.15,35.01,No,1.18
PRV51598,422,5,3.05,29.67,No,1.18
PRV52315,85,1,3.01,19.14,No,1.18
PRV57672,425,5,2.83,32.55,Yes,1.18
PRV57477,85,1,2.6,16.79,No,1.18
PRV52351,425,5,2.57,21.04,No,1.18
PRV55525,933,11,2.57,32.79,No,1.18
PRV56783,85,1,2.29,15.59,No,1.18
PRV51885,85,1,2.19,23.42,No,1.18
PRV51030,171,2,3.48,16.7,No,1.17
PRV56235,171,2,3.05,29.57,No,1.17
PRV51021,257,3,2.92,24.41,Yes,1.17
PRV55737,257,3,2.88,47.87,No,1.17
PRV55004,2399,28,2.7,37.47,Yes,1.17
PRV55496,86,1,4.07,35.26,Yes,1.16
PRV53242,259,3,3.61,45.21,Yes,1.16
PRV51245,173,2,3.17,26.15,No,1.16
PRV56713,173,2,3.06,20.74,No,1.16
PRV52038,259,3,3.03,29.67,No,1.16
PRV55755,86,1,2.94,37.09,No,1.16
PRV57715,860,10,2.89,33.31,No,1.16
PRV55196,173,2,2.84,19.97,No,1.16
PRV55269,172,2,2.84,27.38,No,1.16
PRV55467,1896,22,2.76,40.36,Yes,1.16
PRV54924,173,2,2.75,23.43,No,1.16
PRV51567,1632,19,2.7,36.09,Yes,1.16
PRV55739,86,1,2.7,15.52,No,1.16
PRV52656,775,9,2.6,38.99,No,1.16
PRV52299,601,7,2.53,26.48,No,1.16
PRV55433,87,1,3.37,19.17,Yes,1.15
PRV51670,436,5,2.98,36.85,No,1.15
PRV55205,260,3,2.98,34.27,No,1.15
PRV51025,87,1,2.94,30.77,No,1.15
PRV51068,261,3,2.82,31.13,No,1.15
PRV51114,262,3,2.82,31.63,No,1.15
PRV52343,261,3,2.79,28.21,Yes,1.15
PRV54238,348,4,2.77,36.08,No,1.15
PRV56151,87,1,2.73,16.01,No,1.15
PRV57380,87,1,2.69,28.09,No,1.15
PRV52562,87,1,2.68,15.72,No,1.15
PRV53416,87,1,2.68,17.59,No,1.15
PRV54256,262,3,2.6,31.96,No,1.15
PRV51752,87,1,2.5,28.18,No,1.15
PRV55867,88,1,3.34,29.25,No,1.14
PRV57515,88,1,3.06,22.54,No,1.14
PRV55264,528,6,2.77,42.23,No,1.14
PRV53956,526,6,2.74,34.33,No,1.14
PRV54242,88,1,2.74,17.27,No,1.14
PRV53000,703,8,2.69,34.47,No,1.14
PRV52654,177,2,3.62,42.99,No,1.13
PRV55453,795,9,2.95,32.79,Yes,1.13
PRV57572,265,3,2.86,24.08,No,1.13
PRV51578,1500,17,2.81,27.58,Yes,1.13
PRV53300,354,4,2.6,36.8,No,1.13
PRV52405,89,1,4.15,29.5,No,1.12
PRV56588,269,3,3.56,32.68,Yes,1.12
PRV53090,179,2,2.92,32.82,No,1.12
PRV51447,89,1,2.82,25.15,Yes,1.12
PRV53523,89,1,2.65,17.91,No,1.12
PRV56840,89,1,2.63,40.9,No,1.12
PRV51990,89,1,2.56,19.51,No,1.12
PRV55314,89,1,2.5,15.86,No,1.12
PRV51943,89,1,2.44,18.73,No,1.12
PRV54508,90,1,3.52,32.33,No,1.11
PRV57158,271,3,3.02,16.92,Yes,1.11
PRV51937,90,1,2.98,22.09,No,1.11
PRV54723,90,1,2.84,38.74,No,1.11
PRV56231,270,3,2.8,19.04,Yes,1.11
PRV52099,90,1,2.67,18.12,No,1.11
PRV53699,361,4,2.51,28.84,No,1.11
PRV57385,90,1,2.39,17.33,No,1.11
PRV54651,91,1,3.77,25.71,Yes,1.1
PRV52964,91,1,3.05,33.18,No,1.1
PRV53682,365,4,2.85,30.94,No,1.1
PRV52369,547,6,2.84,35.2,No,1.1
PRV56790,91,1,2.76,24.74,No,1.1
PRV57333,1004,11,2.7,35.56,No,1.1
PRV55913,1267,14,2.61,37.23,Yes,1.1
PRV55690,91,1,2.53,23.92,No,1.1
PRV52859,911,10,2.51,33.15,No,1.1
PRV53700,913,10,2.5,22.69,No,1.1
PRV55026,272,3,2.4,22.52,No,1.1
PRV55234,184,2,3.2,15.99,No,1.09
PRV56684,92,1,3.04,29.38,No,1.09
PRV57245,92,1,2.93,21.3,No,1.09
PRV52857,459,5,2.86,36.64,No,1.09
PRV52411,92,1,2.7,18.04,No,1.09
PRV51289,92,1,2.69,32.06,No,1.09
PRV57348,920,10,2.61,32.62,No,1.09
PRV57365,183,2,2.39,29.86,No,1.09
PRV52130,93,1,3.25,26.72,No,1.08
PRV51303,93,1,3.15,15.71,No,1.08
PRV56575,830,9,3.15,33.98,Yes,1.08
PRV56580,185,2,2.96,16.89,No,1.08
PRV51031,185,2,2.88,29.19,No,1.08
PRV55910,372,4,2.73,27.68,No,1.08
PRV54423,93,1,2.68,36.8,No,1.08
PRV55037,649,7,2.64,37.12,No,1.08
PRV56219,277,3,2.63,27.24,No,1.08
PRV56693,373,4,2.9,39.86,No,1.07
PRV53394,1215,13,2.82,33.76,No,1.07
PRV53689,561,6,2.78,21.59,No,1.07
PRV55039,2058,22,2.78,76.93,Yes,1.07
PRV55455,373,4,2.72,35.82,No,1.07
PRV56598,280,3,2.36,30.23,No,1.07
PRV54065,94,1,3.43,18.88,Yes,1.06
PRV52441,94,1,2.99,25.33,No,1.06
PRV52120,1231,13,2.96,42.34,Yes,1.06
PRV55116,284,3,2.77,32.2,No,1.06
PRV56587,473,5,2.75,33.17,Yes,1.06
PRV52563,473,5,2.72,20.43,No,1.06
PRV57153,94,1,2.56,25.06,No,1.06
PRV52138,188,2,2.46,19.38,No,1.06
PRV55905,95,1,4.55,52.74,Yes,1.05
PRV54390,95,1,3.64,15.51,No,1.05
PRV55520,287,3,3.17,42.7,No,1.05
PRV51256,95,1,2.91,40.86,No,1.05
PRV51377,95,1,2.85,19.97,No,1.05
PRV51167,190,2,2.66,27.9,No,1.05
PRV56425,381,4,2.64,21.66,Yes,1.05
PRV56608,856,9,2.62,31.93,Yes,1.05
PRV55281,190,2,2.58,34.97,No,1.05
PRV51059,96,1,3.72,21.44,Yes,1.04
PRV53007,96,1,3.64,18.61,Yes,1.04
PRV55392,192,2,3.19,22.63,No,1.04
PRV53710,385,4,3.13,20.14,No,1.04
PRV54400,96,1,3.01,28.13,No,1.04
PRV52077,1156,12,2.87,48.38,Yes,1.04
PRV52701,96,1,2.84,19.23,No,1.04
PRV55479,672,7,2.74,21.41,No,1.04
PRV56639,96,1,2.69,22.01,No,1.04
PRV53921,768,8,2.61,26.61,No,1.04
PRV54682,96,1,2.61,26.51,No,1.04
PRV53916,192,2,2.49,24.86,No,1.04
PRV53750,1245,13,2.46,34.75,No,1.04
PRV56829,193,2,2.42,33.74,No,1.04
PRV56039,97,1,3.24,36.47,No,1.03
PRV54514,387,4,2.99,28.28,Yes,1.03
PRV53238,195,2,2.73,24.12,No,1.03
PRV57557,97,1,2.72,26.25,No,1.03
PRV53283,97,1,2.71,26.38,No,1.03
PRV52641,97,1,2.68,19.99,No,1.03
PRV56448,584,6,2.6,36.7,No,1.03
PRV55099,97,1,2.55,28.72,No,1.03
PRV51842,294,3,3.39,28.99,Yes,1.02
PRV54560,98,1,3.15,23.56,Yes,1.02
PRV56259,196,2,2.93,30.7,Yes,1.02
PRV52114,1269,13,2.87,32.34,Yes,1.02
PRV57193,393,4,2.79,20.89,No,1.02
PRV55163,587,6,2.72,43.91,Yes,1.02
PRV52573,587,6,2.59,37.48,No,1.02
PRV54139,99,1,2.87,17.35,No,1.01
PRV52347,397,4,2.86,31.02,Yes,1.01
PRV52367,297,3,2.83,20.98,No,1.01
PRV53709,99,1,2.81,31.26,No,1.01
PRV54847,296,3,2.7,30.59,No,1.01
PRV52059,1287,13,2.63,38.47,Yes,1.01
PRV52349,99,1,2.63,19.44,No,1.01
PRV51062,397,4,2.6,29.08,No,1.01
PRV52903,200,2,4.21,17.65,Yes,1.0
PRV52985,1403,14,2.84,30.18,Yes,1.0
PRV52605,1000,10,2.78,33.75,No,1.0
PRV51204,499,5,2.75,26.63,No,1.0
PRV51836,1794,18,2.69,42.24,Yes,1.0
PRV52827,804,8,2.69,54.51,No,1.0
PRV54914,402,4,2.68,31.33,No,1.0
PRV56689,1794,18,2.68,38.44,Yes,1.0
PRV55002,100,1,2.67,16.73,No,1.0
PRV54265,406,4,2.9,35.08,No,0.99
PRV56222,101,1,2.9,31.57,No,0.99
PRV55523,303,3,2.86,35.26,No,0.99
PRV51112,304,3,2.81,17.1,No,0.99
PRV54219,101,1,2.81,18.14,No,0.99
PRV52046,101,1,2.78,28.5,No,0.99
PRV56268,1113,11,2.78,68.87,Yes,0.99
PRV52560,503,5,2.76,42.61,No,0.99
PRV54786,1316,13,2.72,32.91,Yes,0.99
PRV53628,202,2,2.7,19.65,No,0.99
PRV57212,101,1,2.7,23.35,No,0.99
PRV51433,1610,16,2.67,43.82,Yes,0.99
PRV51508,202,2,2.66,28.07,No,0.99
PRV55238,101,1,2.62,27.8,No,0.99
PRV52665,607,6,2.46,17.94,No,0.99
PRV53594,101,1,2.4,17.03,No,0.99
PRV57526,202,2,2.33,18.07,No,0.99
PRV54781,205,2,3.28,20.99,Yes,0.98
PRV53326,102,1,3.17,15.61,No,0.98
PRV51867,102,1,2.84,16.12,No,0.98
PRV56738,512,5,2.82,30.39,No,0.98
PRV52645,408,4,2.8,30.57,No,0.98
PRV52064,2844,28,2.69,38.32,Yes,0.98
PRV55270,204,2,2.58,17.48,No,0.98
PRV53971,102,1,2.57,32.88,No,0.98
PRV54927,102,1,2.5,35.64,No,0.98
PRV57710,409,4,2.49,23.75,No,0.98
PRV55304,204,2,2.32,18.11,No,0.98
PRV55971,620,6,3.1,42.53,Yes,0.97
PRV54566,308,3,2.98,28.64,Yes,0.97
PRV57449,103,1,2.98,28.68,No,0.97
PRV54315,103,1,2.84,33.86,No,0.97
PRV54888,413,4,2.59,33.13,No,0.97
PRV52467,103,1,2.58,22.4,Yes,0.97
PRV55556,206,2,2.53,25.41,No,0.97
PRV51426,206,2,2.43,52.15,Yes,0.97
PRV52136,104,1,3.54,17.0,No,0.96
PRV52646,104,1,3.26,17.62,No,0.96
PRV55030,311,3,2.93,31.11,Yes,0.96
PRV53944,104,1,2.9,20.77,No,0.96
PRV56270,1043,10,2.7,26.15,No,0.96
PRV52988,312,3,2.4,22.73,No,0.96
PRV54225,104,1,2.23,16.46,Yes,0.96
PRV54334,105,1,3.27,29.47,No,0.95
PRV55896,105,1,3.16,20.0,Yes,0.95
PRV51879,105,1,2.83,16.87,No,0.95
PRV52365,739,7,2.77,36.07,No,0.95
PRV56011,2833,27,2.72,40.69,Yes,0.95
PRV54690,840,8,2.68,28.64,No,0.95
PRV53960,420,4,2.67,50.05,No,0.95
PRV57303,105,1,2.64,21.14,No,0.95
PRV51636,316,3,2.56,37.97,No,0.95
PRV54813,1056,10,2.49,34.98,No,0.95
PRV53076,105,1,2.29,30.08,No,0.95
PRV51938,106,1,2.94,15.68,No,0.94
PRV52887,530,5,2.76,26.31,Yes,0.94
PRV52889,640,6,2.7,26.49,No,0.94
PRV56813,106,1,2.68,23.33,No,0.94
PRV55232,107,1,3.73,39.81,No,0.93
PRV56605,108,1,3.52,29.07,Yes,0.93
PRV52359,107,1,3.43,17.66,No,0.93
PRV57525,107,1,2.99,18.5,Yes,0.93
PRV55340,108,1,2.92,32.12,No,0.93
PRV54916,107,1,2.88,18.02,No,0.93
PRV55909,107,1,2.81,34.39,No,0.93
PRV56675,323,3,2.68,29.74,No,0.93
PRV53911,536,5,2.64,43.79,Yes,0.93
PRV52872,108,1,2.63,28.26,No,0.93
PRV52312,214,2,2.61,34.48,No,0.93
PRV52936,108,1,2.56,16.04,No,0.93
PRV52104,1189,11,2.54,39.16,No,0.93
PRV55366,107,1,2.42,22.31,No,0.93
PRV54348,217,2,3.53,31.84,No,0.92
PRV55209,762,7,3.23,28.9,Yes,0.92
PRV51600,109,1,3.21,17.1,No,0.92
PRV52642,436,4,3.13,27.03,Yes,0.92
PRV52182,109,1,2.98,15.76,No,0.92
PRV56754,109,1,2.96,26.14,No,0.92
PRV51244,1415,13,2.78,41.74,Yes,0.92
PRV52030,2275,21,2.75,50.56,Yes,0.92
PRV55865,325,3,2.74,23.76,No,0.92
PRV53943,109,1,2.68,16.96,No,0.92
PRV52399,434,4,2.4,29.51,No,0.92
PRV53965,110,1,3.13,15.72,No,0.91
PRV55920,110,1,2.55,27.16,No,0.91
PRV52076,221,2,3.4,34.55,No,0.9
PRV55732,111,1,2.97,31.66,No,0.9
PRV56439,443,4,2.75,39.0,No,0.9
PRV57312,334,3,2.7,23.05,Yes,0.9
PRV51574,4444,40,2.69,36.45,Yes,0.9
PRV56249,1110,10,2.69,37.51,Yes,0.9
PRV57521,111,1,2.66,19.01,No,0.9
PRV56559,1113,10,2.63,36.29,No,0.9
PRV53920,221,2,2.56,35.99,No,0.9
PRV53638,111,1,2.47,16.6,No,0.9
PRV57211,111,1,2.36,15.88,No,0.9
PRV55462,1907,17,3.03,36.78,Yes,0.89
PRV55951,448,4,2.75,33.69,Yes,0.89
PRV52262,112,1,2.68,16.77,No,0.89
PRV55752,563,5,2.64,55.98,No,0.89
PRV51459,8240,73,2.63,98.82,Yes,0.89
PRV51301,112,1,2.62,16.1,No,0.89
PRV56494,560,5,2.55,42.19,No,0.89
PRV55439,224,2,2.54,47.45,No,0.89
PRV57495,113,1,3.6,29.32,Yes,0.88
PRV51183,113,1,3.21,19.41,No,0.88
PRV53239,113,1,3.07,36.52,No,0.88
PRV53824,114,1,3.04,46.5,No,0.88
PRV56243,909,8,2.91,31.94,No,0.88
PRV52374,228,2,2.88,38.63,No,0.88
PRV55729,114,1,2.86,25.35,No,0.88
PRV56416,1592,14,2.86,51.09,Yes,0.88
PRV54284,113,1,2.83,15.84,No,0.88
PRV55855,114,1,2.81,20.85,No,0.88
PRV57677,226,2,2.79,17.71,No,0.88
PRV56361,114,1,2.74,16.71,Yes,0.88
PRV57717,114,1,2.72,26.3,No,0.88
PRV57159,228,2,2.69,22.42,No,0.88
PRV57187,114,1,2.37,16.6,No,0.88
PRV55736,230,2,3.27,33.17,No,0.87
PRV54908,115,1,2.89,41.08,No,0.87
PRV55679,229,2,2.7,30.12,No,0.87
PRV54564,803,7,2.67,34.71,No,0.87
PRV55869,346,3,2.66,34.67,No,0.87
PRV54837,1843,16,2.65,41.11,Yes,0.87
PRV55990,231,2,2.63,18.28,No,0.87
PRV57184,115,1,2.62,20.37,No,0.87
PRV55459,344,3,2.6,17.77,No,0.87
PRV55515,459,4,2.49,23.04,No,0.87
PRV52400,231,2,2.47,35.7,No,0.87
PRV52124,115,1,2.39,15.66,Yes,0.87
PRV56355,115,1,2.24,19.74,No,0.87
PRV54379,116,1,3.56,35.82,No,0.86
PRV52950,116,1,3.13,17.32,No,0.86
PRV57170,579,5,2.9,18.54,Yes,0.86
PRV52340,1743,15,2.8,39.29,Yes,0.86
PRV53695,116,1,2.8,40.82,No,0.86
PRV53121,579,5,2.79,31.55,Yes,0.86
PRV54075,1519,13,2.74,47.37,Yes,0.86
PRV56410,350,3,2.63,30.25,No,0.86
PRV55057,347,3,2.59,29.67,Yes,0.86
PRV56592,118,1,3.76,17.24,Yes,0.85
PRV57492,117,1,3.3,22.23,No,0.85
PRV53262,118,1,3.07,15.51,No,0.85
PRV52394,118,1,2.94,18.63,No,0.85
PRV55215,3393,29,2.76,46.14,Yes,0.85
PRV57763,118,1,2.75,21.28,No,0.85
PRV54742,1892,16,2.71,47.38,Yes,0.85
PRV52085,824,7,2.69,34.05,No,0.85
PRV55491,355,3,2.6,32.25,No,0.85
PRV55592,117,1,2.55,16.09,No,0.85
PRV53676,471,4,2.48,38.32,No,0.85
PRV51743,118,1,2.45,17.09,No,0.85
PRV52623,235,2,2.39,28.64,No,0.85
PRV55247,355,3,2.37,21.88,No,0.85
PRV53627,118,1,2.28,25.49,No,0.85
PRV54269,118,1,2.13,15.6,No,0.85
PRV53712,237,2,4.08,31.48,Yes,0.84
PRV51350,239,2,3.25,38.31,No,0.84
PRV52502,119,1,2.78,29.4,Yes,0.84
PRV51634,119,1,2.75,23.81,No,0.84
PRV54895,3436,29,2.73,44.79,Yes,0.84
PRV55820,477,4,2.7,36.86,No,0.84
PRV54966,1796,15,2.68,46.44,Yes,0.84
PRV53887,598,5,2.62,33.14,Yes,0.84
PRV57167,238,2,2.62,23.55,Yes,0.84
PRV52025,119,1,2.37,33.01,No,0.84
PRV57410,241,2,3.02,36.23,No,0.83
PRV56045,120,1,2.92,23.04,No,0.83
PRV54092,481,4,2.77,49.59,No,0.83
PRV51196,720,6,2.68,35.93,No,0.83
PRV54333,360,3,2.63,26.7,Yes,0.83
PRV56404,363,3,2.61,33.32,No,0.83
PRV55226,242,2,2.6,28.55,No,0.83
PRV55897,482,4,2.57,34.25,Yes,0.83
PRV57344,480,4,2.56,21.2,Yes,0.83
PRV52657,121,1,2.54,15.46,No,0.83
PRV52054,240,2,2.47,34.36,No,0.83
PRV54944,120,1,2.17,22.2,No,0.83
PRV53388,122,1,3.11,17.24,No,0.82
PRV52045,243,2,3.08,26.29,Yes,0.82
PRV54925,122,1,3.08,41.31,Yes,0.82
PRV53432,122,1,2.81,28.74,No,0.82
PRV53036,122,1,2.66,19.74,No,0.82
PRV55229,243,2,2.56,27.76,No,0.82
PRV53992,244,2,2.27,18.2,No,0.82
PRV51496,123,1,3.34,23.54,No,0.81
PRV57510,247,2,3.29,33.17,No,0.81
PRV54986,618,5,3.1,40.68,Yes,0.81
PRV55893,615,5,2.91,27.96,Yes,0.81
PRV52109,248,2,2.8,31.02,No,0.81
PRV53762,618,5,2.78,21.28,Yes,0.81
PRV52156,124,1,2.77,36.09,No,0.81
PRV53790,493,4,2.77,20.82,Yes,0.81
PRV54339,123,1,2.74,16.17,No,0.81
PRV52652,743,6,2.69,40.08,Yes,0.81
PRV52372,124,1,2.65,15.81,No,0.81
PRV51944,124,1,2.63,17.89,No,0.81
PRV52698,123,1,2.58,17.42,No,0.81
PRV53918,3588,29,2.58,35.46,Yes,0.81
PRV53077,124,1,2.31,21.94,No,0.81
PRV56517,123,1,2.29,17.5,No,0.81
PRV56239,125,1,2.83,30.97,No,0.8
PRV51284,377,3,2.82,33.58,No,0.8
PRV53117,251,2,2.8,16.43,No,0.8
PRV53799,753,6,2.74,36.01,No,0.8
PRV55187,125,1,2.64,18.06,No,0.8
PRV53876,125,1,2.63,22.02,No,0.8
PRV53634,497,4,2.54,43.03,No,0.8
PRV52031,125,1,2.41,16.97,No,0.8
PRV55846,127,1,3.56,15.55,No,0.79
PRV56265,126,1,3.11,37.9,No,0.79
PRV54882,253,2,2.89,29.96,Yes,0.79
PRV55180,127,1,2.86,47.34,No,0.79
PRV53244,508,4,2.77,40.22,No,0.79
PRV55000,764,6,2.74,35.65,No,0.79
PRV53895,1273,10,2.64,40.18,Yes,0.79
PRV52571,508,4,2.63,38.05,No,0.79
PRV55937,382,3,2.55,19.09,No,0.79
PRV52313,504,4,2.48,38.51,No,0.79
PRV54983,126,1,2.29,34.45,No,0.79
PRV54973,129,1,3.11,17.79,No,0.78
PRV54705,257,2,2.95,24.96,No,0.78
PRV53785,129,1,2.91,19.6,No,0.78
PRV57306,2315,18,2.7,35.33,Yes,0.78
PRV57151,515,4,2.68,32.21,No,0.78
PRV55388,515,4,2.67,35.54,No,0.78
PRV52982,643,5,2.63,24.91,Yes,0.78
PRV55463,257,2,2.63,16.5,No,0.78
PRV51509,1030,8,2.59,28.34,No,0.78
PRV56615,129,1,2.57,20.5,No,0.78
PRV52337,773,6,2.55,29.9,Yes,0.78
PRV51504,128,1,2.54,17.95,No,0.78
PRV55512,128,1,2.47,18.9,No,0.78
PRV51180,129,1,2.35,15.63,No,0.78
PRV52844,129,1,2.15,15.51,No,0.78
PRV54565,130,1,3.28,15.83,No,0.77
PRV52344,130,1,3.24,26.68,No,0.77
PRV52325,130,1,3.19,16.17,Yes,0.77
PRV51369,2083,16,2.72,35.68,Yes,0.77
PRV53670,1173,9,2.72,30.95,Yes,0.77
PRV51535,388,3,2.69,30.0,No,0.77
